date,cct
2015-08-09 08:30:00,5361.940757625622
2015-08-09 16:00:00,5094.972538077699
2015-08-10 07:00:00,4828.213470793142
2015-08-10 10:00:00,5348.134463803542
2015-08-12 06:00:00,4185.006442156403
2015-08-12 07:00:00,4984.83002565975
2015-08-12 08:00:00,5268.669748452264
2015-08-12 11:00:00,5465.301461252863
2015-08-13 06:00:00,4025.0606721521053
2015-08-13 08:00:00,5207.826462387423
2015-08-13 10:00:00,5407.30484195005
2015-08-14 06:00:00,4033.2610467722598
2015-08-14 06:30:00,4619.808314563733
2015-08-15 08:30:00,5255.390696457655
2015-08-15 09:00:00,5316.342056340759
2015-08-15 09:30:00,5366.21870902843
2015-08-15 10:00:00,5399.607189191929
2015-08-15 11:00:00,5420.719800483928
2015-08-17 09:00:00,5045.4504774020215
